Date,Open,High,Low,Close,Adj Close,Volume,,
14/06/2022,135,136.949997,134.860001,135.720001,130.844894,4607800,,
15/06/2022,136.009995,138.449997,135.580002,137.059998,132.13678,4606900,,
16/06/2022,135.300003,136.240005,134.389999,135.669998,130.796707,5386400,,
17/06/2022,135.990005,136.979996,132.850006,135.020004,130.170044,12968500,,
21/06/2022,135.899994,138.5,135.899994,137.850006,132.898407,4089300,,
22/06/2022,136.100006,138.179993,136.029999,137.080002,132.156052,3791500,,
23/06/2022,137.139999,138.619995,136.5,138.440002,133.467194,4547900,,
24/06/2022,139.199997,142.369995,139.130005,142.059998,136.957169,11493000,,
27/06/2022,142.259995,143.830002,141.949997,142.800003,137.670593,3936000,,
28/06/2022,142.919998,144.160004,141.320007,141.860001,136.764359,4064800,,
29/06/2022,142.740005,143.520004,139.5,140.710007,135.655655,4161500,,
30/06/2022,139.580002,142.460007,139.279999,141.190002,136.118439,4878000,,
01/07/2022,141,141.669998,139.259995,141.119995,136.050934,4011900,,
05/07/2022,139.970001,139.970001,135.270004,137.619995,132.676651,6273400,,
06/07/2022,138,139.139999,137.130005,138.080002,133.120132,3237000,,
07/07/2022,138.910004,141.320007,138.830002,140.830002,135.771347,3897100,,
08/07/2022,140.759995,141.320007,139.820007,140.470001,135.424286,2820800,,
11/07/2022,140.619995,141.869995,140.130005,141,135.935257,3904700,,
12/07/2022,140.839996,141.550003,138.570007,139.179993,134.180618,3235400,,
13/07/2022,137.179993,138.899994,136.800003,137.179993,132.252457,4123200,,
14/07/2022,135.600006,139.429993,135.020004,139.059998,134.064926,5298400,,
15/07/2022,140.679993,140.679993,138.610001,139.919998,134.894043,4519300,,
18/07/2022,140.149994,140.309998,137.779999,138.130005,133.16835,8231700,,
19/07/2022,131.580002,132.559998,127.720001,130.880005,126.178764,29690500,,
20/07/2022,130.699997,130.720001,128.059998,129.179993,124.539825,9882000,,
21/07/2022,128.75,128.809998,125.129997,127.150002,122.582741,11975400,,
22/07/2022,127.029999,128.320007,125.709999,128.25,123.643227,6467200,,
25/07/2022,128.440002,129.130005,127.900002,128.539993,123.922806,4702400,,
26/07/2022,128.259995,129.300003,127.629997,128.080002,123.47934,3645300,,
27/07/2022,127.970001,129.429993,127.580002,129.119995,124.481972,4175600,,
28/07/2022,128.75,129.809998,128.610001,129.220001,124.578384,3913700,,
29/07/2022,129.520004,131,129.309998,130.789993,126.09198,5786800,,
01/08/2022,130.75,132.699997,130.699997,132.039993,127.297081,4142100,,
02/08/2022,132.199997,132.779999,130.509995,131.809998,127.075356,4403600,,
03/08/2022,131.820007,132.860001,131.320007,132.339996,127.586327,3088500,,
04/08/2022,132.149994,132.289993,131.020004,131.639999,126.911446,3179800,,
05/08/2022,131.25,132.669998,131.070007,132.479996,127.721283,2586500,,
08/08/2022,133.100006,133.350006,132.020004,132.610001,127.846619,3821200,,
09/08/2022,129.919998,130.789993,129.119995,129.470001,126.392044,3496000,,
10/08/2022,130.75,131.779999,130.339996,131.5,128.373779,3664000,,
11/08/2022,132.360001,133.229996,132,132.539993,129.389053,3501900,,
12/08/2022,132.619995,134.089996,131.979996,134.009995,130.824097,2766900,,
15/08/2022,132.960007,135.190002,132.240005,134.929993,131.722244,2791200,,
16/08/2022,134.600006,137.369995,134.449997,136.559998,133.313477,4313600,,
17/08/2022,136.460007,138.419998,136.300003,137.789993,134.514236,3667600,,
18/08/2022,137.789993,139.119995,137.75,139.070007,135.763824,3177700,,
19/08/2022,138.75,139.339996,137.660004,138.369995,135.08046,3155800,,
22/08/2022,137.649994,137.850006,135.470001,135.550003,132.327515,3093600,,
23/08/2022,135.369995,136.100006,134.720001,134.740005,131.536774,4141800,,
24/08/2022,134.889999,135.110001,133.110001,133.229996,130.062637,2855400,,
